Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1991.324.2,False,False,98727,Costume Institute,Necktie,Necktie,French,,,,,Designer,Textile designed by,Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo",Spanish,1881      ,1973      ,1950s–60s,1950,1969,silk,,"Gift of Stanley J. Love, 1991",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/98727,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2124,False,False,156916,Costume Institute,Necktie,Necktie,French,,,,,Artist|Department Store,,Pablo Picasso|J. C. D'Ahetze,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|D'Ahetze J. C.",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156916,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2125,False,False,156917,Costume Institute,Necktie,Necktie,French,,,,,Department Store|Artist,,J. C. D'Ahetze|Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"D'Ahetze J. C.|Picasso, Pablo",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156917,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2126,False,False,156918,Costume Institute,Necktie,Necktie,French,,,,,Artist|Department Store,,Pablo Picasso|J. C. D'Ahetze,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|D'Ahetze J. C.",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156918,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2127,False,False,156919,Costume Institute,Necktie,Necktie,French,,,,,Department Store|Artist,,J. C. D'Ahetze|Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"D'Ahetze J. C.|Picasso, Pablo",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156919,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.2128,False,False,156920,Costume Institute,Necktie,Necktie,French,,,,,Artist|Department Store,,Pablo Picasso|J. C. D'Ahetze,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|D'Ahetze J. C.",Spanish,1881      ,1973      ,ca. 1960,1958,1962,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/156920,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2009.300.7620,False,False,174673,Costume Institute,Necktie,Necktie,French,,,,,Artist|Retailer,,Pablo Picasso|J. C. D'Ahetze,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|D'Ahetze J. C.",Spanish,1881      ,1973      ,ca. 1960,1958,1962,Silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Arthur Wiesenberger, 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/174673,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
2005.100.326,False,False,286542,Photographs,Photograph,Bal of Etienne de Beaumont,,,,,,Artist|Person in Photograph|Person in Photograph,Person in photograph|Person in photograph,Man Ray|Pablo Picasso|Olga Khokhlova,"American, Philadelphia, Pennsylvania 1890–1976 Paris|Spanish, Malaga 1881–1973 Mougins, France|1891–1955",,"Man Ray|Picasso, Pablo|Khokhlova, Olga",American|Spanish,1890      |1881      |1891      ,1976      |1973      |1955      ,ca. 1924,1922,1926,Gelatin silver print,"Image: 7 15/16 × 6 5/8 in. (20.1 × 16.8 cm)
Mount: 16 1/8 in. × 12 3/16 in. (41 × 31 cm)","Gilman Collection, Purchase, Mr. and Mrs. Henry R. Kravis Gift, 2005",,,,,,,,,,,,Photographs,"© 2017 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/286542,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1983.1212.27,False,False,336518,Drawings and Prints,Print,"Young Man with a Bull's Mask, Faun, and Profile of a Woman",,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Jacques Frélaut|Galerie Louise Leiris,"Spanish, Malaga 1881–1973 Mougins, France|French|Paris",", 1981","Picasso, Pablo|Frélaut, Jacques|Leiris, Galerie Louise ",Spanish|French,1881      ,1973      ,"1934, printed 1961",1961,1961,Etching,"plate: 8 3/4 x 12 3/16 in. (22.2 x 31 cm)
sheet: 15 3/4 x 20 in. (40 x 50.8 cm)","Gift of Reiss-Cohen Inc., 1983",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/336518,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1986.1224.1(2),False,False,336519,Drawings and Prints,Print,Dream and Lie of Franco II,,,,,,Artist,,Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo",Spanish,1881      ,1973      ,1937,1937,1937,Aquatint,"Plate: 12 7/16 x 16 9/16 in. (31.6 x 42.1 cm)
Sheet: 15 3/16 x 22 1/2 in. (38.6 x 57.2 cm)","Gift of Mr. and Mrs. E. Powis Jones, 1986",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/336519,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
23.31.1,True,False,337068,Drawings and Prints,Print,The Frugal Repast,,,,,,Artist|Printer|Publisher,,Pablo Picasso|Louis Fort|Ambroise Vollard,"Spanish, Malaga 1881–1973 Mougins, France|French, 19th–20th century|French, 1867–1939",,"Picasso, Pablo|Fort, Louis|Vollard, Ambroise",Spanish|French|French,1881      |1800      |1867      ,1973      |1999      |1939      ,"1904, printed 1913",1913,1913,Etching,"Sheet: 25 11/16 x 19 11/16 in. (65.2 x 50 cm)
Plate: 18 1/4 x 14 7/8 in. (46.4 x 37.8 cm)","Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/337068,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1983.1212.36,False,False,340921,Drawings and Prints,Print,Two Seated Women,,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Jacques Frélaut|Galerie Louise Leiris,"Spanish, Malaga 1881–1973 Mougins, France|French|Paris",", 1980","Picasso, Pablo|Frélaut, Jacques|Leiris, Galerie Louise ",Spanish|French,1881      ,1973      ,"1938, printed 1961",1961,1961,Etching,"plate: 9 3/4 x 10 7/8 in. (24.8 x 27.6 cm)
sheet: 14 x 20 7/8 in. (35.6 x 53 cm)","Gift of Reiss-Cohen Inc., 1983",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/340921,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1983.1212.13,False,False,340922,Drawings and Prints,Print,"The Beach, III",,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Jacques Frélaut|Galerie Louise Leiris,"Spanish, Malaga 1881–1973 Mougins, France|French|Paris",", 1981","Picasso, Pablo|Frélaut, Jacques|Leiris, Galerie Louise ",Spanish|French,1881      ,1973      ,"1932, printed 1961",1961,1961,Etching,"plate: 6 1/16 x 4 9/16 in. (15.4 x 11.6 cm)
sheet: 12 1/8 x 9 1/2 in. (30.8 x 24.1 cm)","Gift of Reiss-Cohen Inc., 1983",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/340922,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
62.652.9,False,False,345337,Drawings and Prints,Book,Bal Olympique/vrai bal sportif costumé organisé par l'Union des Artistes Russes à Paris,,,,,,Publisher|Designer|Designer|Artist|Artist|Designer|Designer|Designer,Published by|Designed by|Designed by|After|After|Designed by|Designed by|Designed by,l'Union des Artistes Russes à Paris|V. Barthe|Chatzman|Édouard Manet|Pablo Picasso|Marie Vassilieff|Fotinsky|N. Granovsky,"Russian, active 20th century|Russian, active 20th century|French, Paris 1832–1883 Paris|Spanish, Malaga 1881–1973 Mougins, France|Russian, Smolensk 1884–1957 Nogent-sur-Marne|Russian, active 20th century|Russian, active 20th century",", Paris","l'Union des Artistes Russes à Paris|Barthe, V.|Chatzman|Manet, Édouard|Picasso, Pablo|Vassilieff, Marie|Fotinsky|Granovsky, N.",Russian|Russian|French|Spanish|Russian|Russian|Russian,1900      |1900      |1832      |1881      |1884      |0020      |1900      ,2000      |2000      |1883      |1973      |1957      |0020      |2000      ,1924,1924,1924,Printed book with lithographs,Overall: 11 11/16 x 10 1/16 x 1/4 in. (29.7 x 25.5 x 0.7 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/345337,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1988.1149.4,False,False,345355,Drawings and Prints,Book,Le chef d'oeuvre inconnu,,,,,,Author|Artist|Publisher,Written by,Honoré de Balzac|Pablo Picasso|Ambroise Vollard,"French, Tours 1799–1850 Paris|Spanish, Malaga 1881–1973 Mougins, France|French, 1867–1939",,"Balzac, Honoré de|Picasso, Pablo|Vollard, Ambroise",French|Spanish|French,1799-05-20|1881      |1867      ,1850-08-18|1973      |1939      ,1931,1931,1931,Woodcut and photo etching,,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1988",,Paris,,,,,,,,,,Books,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/345355,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
49.86.1,False,False,348477,Drawings and Prints,Book,Dédié à l'élegance,,,,,,Designer|Illustrator|Illustrator|Illustrator|Illustrator|Illustrator|Illustrator,Cover designed by|Illustrated by|Illustrated by|Illustrated by|Illustrated by|Illustrated by|Illustrated by,A. D. Bérard|Pierre Bonnard|Pablo Picasso|Henri Matisse|André Fougeron|Marie Laurencin|Louis Touchagues,"French, Fontenay-aux-Roses 1867–1947 Le Cannet|Spanish, Malaga 1881–1973 Mougins, France|French, Le Cateau-Cambrésis 1869–1954 Nice|French, Paris 1912–1998 Paris|French, Paris 1883–1956 Paris|1893–1974",,"Bérard, A. D.|Bonnard, Pierre|Picasso, Pablo|Matisse, Henri|Fougeron, André|Laurencin, Marie|Touchagues, Louis",French|Spanish|French|French|French|French,1867      |1881      |1869      |1912      |1883      |1893      ,1947      |1973      |1954      |1998      |1956      |1974      ,1945,1945,1945,,Overall: 13 x 10 7/16 x 1/4 in. (33 x 26.5 x 0.7 cm),"Gift of Herbert Reichner, 1949",,Paris,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/348477,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1974.554.2,False,False,350431,Drawings and Prints,Book,Les montparnos,,,,,,Author|Designer|Designer|Publisher|Designer|Designer|Printer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Artist|Designer,Written by|Designed by|Designed by|Published by|Designed by|Designed by|Printed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Designed by|Attributed to|Designed by,Michel George-Michel|Amedeo Modigliani|Pablo Picasso|Eugène Fasquelle|Tsuguharu Foujita|Gino Severini|Louis Bellenand et Fils|Chaim Soutine|Louis Touchagues|Léopold Survage|Juan Gris|Fernand Léger|Jean Metzinger|Léon Bakst|Francis Picabia|Natalia Goncharova|Angel Zarraga|Hélène-Marie-Marguerite Perdriat|Celso Lagar (Lagar-Arroyo)|Jean-Francis Laglenne|Mikhail Larionov|Maurice Le Scouëzec|Geneviève-Marie Gallibert|Andrea di Vanni|José Maria Sert Y Badia|Valentine Hugo|Moïse Kisling|A. Corbery|Gustave-Henri Colin|Man Ray,"Italian, Livorno 1884–1920 Paris|Spanish, Malaga 1881–1973 Mougins, France|Paris|French (born Japan), Tokyo 1886–1968 Zurich|Italian, Cortona 1883–1966 Paris|French (born Lithuania), Smilovitchi 1893–1943 Paris|1893–1974|French, 1879–1968|Spanish, Madrid 1887–1927 Boulogne-sur-Seine|French, Argentan 1881–1955 Gif-sur-Yvette|French, Nantes 1883–1956 Paris|Russian, Grodno 1866–1924 Paris|French, Paris 1879–1953 Paris|French (born Russia), Nagaevo 1881–1962 Paris|Mexican, Durango 1886–1946|French, 1894–1969|Spanish, 1891–1966|French, 1899–1962|Russian, 1881–1964|French, 1881–1940|French, born 1888|Spanish, 1874/76–1945|French, Boulogne-sur-Mer 1887–1968 Paris|French (born Poland), Kraców 1891–1953 Sanary-sur-Mer|French, 20th Century|French, 20th century|American, Philadelphia, Pennsylvania 1890–1976 Paris",,"George-Michel, Michel|Modigliani, Amedeo|Picasso, Pablo|Fasquelle, Eugène|Foujita, Tsuguharu|Severini, Gino|Bellenand, Louis et Fils|Soutine, Chaim|Touchagues, Louis|Survage, Léopold|Gris, Juan|Léger, Fernand|Metzinger, Jean|Bakst, Léon|Picabia, Francis|Goncharova, Natalia|Zarraga, Angel|Perdriat, Hélène-Marie-Marguerite|Lagar, (Lagar-Arroyo) Celso|Laglenne, Jean-Francis|Larionov, (Larionow) Michaïl|Le Scouëzec Maurice|Gallibert, Geneviève-Marie|di Vanni, Andrea|Sert, Y Badia José Maria|Hugo, Valentine|Kisling, Moïse|Corbery, A.|Colin, Gustave-Henri|Man Ray","French|Italian|Spanish|French|French, born Japan|Italian|French|French, born Lithuania|French|French|Spanish|French|French|Russian|French|French, born Russia|Mexican|French|Spanish|French|Russian|French|French|Spanish|French|French, born Poland|French|French|American",1884      |1881      |1850      |1886      |1883      |1920      |1893      |1893      |1879      |1887      |1881      |1883      |1866      |1879      |1881      |1886      |1894      |1891      |1899      |1881      |1881      |1888      |1874      |1887      |1891      |1900      |1880      |1890      ,1920      |1973      |1950      |1968      |1966      |1930      |1943      |1974      |1968      |1927      |1955      |1956      |1924      |1953      |1962      |1946      |1969      |1966      |1962      |1964      |1940      |1945      |1968      |1953      |1999      |1980      |1976      ,1929,1929,1929,"Mechanical reproductions of paintings, line drawings, and drawings",Overall: 8 1/4 x 5 11/16 x 1 in. (21 x 14.5 x 2.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1974",,Paris,,,,,,,,,,Books,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/350431,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
68.665.4,False,False,350615,Drawings and Prints,Book,Man with a Hat from Du cubisme,,,,,,Author|Author|Publisher|Artist|Artist|Artist|Artist|Artist,Written and illustrated by|Written and illustrated by|Published by,Albert Gleizes|Jean Metzinger|Compagnie des Arts Graphiques|Marcel Duchamp|Marie Laurencin|Francis Picabia|Pablo Picasso|Jacques Villon,"French, Paris 1881–1953 Avignon|French, Nantes 1883–1956 Paris|American (born France), Blanville 1887–1968 Neuilly-sur-Seine|French, Paris 1883–1956 Paris|French, Paris 1879–1953 Paris|Spanish, Malaga 1881–1973 Mougins, France|French, Damville 1875–1963 Puteaux",", Paris","Gleizes, Albert|Metzinger, Jean|Compagnie des Arts Graphiques|Duchamp, Marcel|Laurencin, Marie|Picabia, Francis|Picasso, Pablo|Villon, Jacques","French|French|French|American, born France|French|French|Spanish|French",1881      |1883      |1887      |1883      |1879      |1881      |1875      ,1953      |1956      |1968      |1956      |1953      |1973      |1963      ,"1914, printed 1947",1947,1947,,Overall: 10 1/4 x 8 1/4 x 13/16 in. (26 x 21 x 2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1968",,Paris,,,,,,,,,,Books,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/350615,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1979.620.80,False,False,352214,Drawings and Prints,Print,Jacqueline with Soft  Hair,,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Hidalgo Arnéra|Galerie Louise Leiris,"Spanish, Malaga 1881–1973 Mougins, France|Paris",,"Picasso, Pablo|Arnéra, Hidalgo|Leiris, Galerie Louise ",Spanish|French,1881      ,1973      ,1962,1962,1962,Linocut,"block: 13 3/4 x 10 5/8 in. (34.9 x 27 cm)
sheet: 24 3/4 x 17 1/2 in. (62.9 x 44.5 cm)","The Mr. and Mrs. Charles Kramer Collection, Gift of Mr. and Mrs. Charles Kramer, 1979",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/352214,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
68.632.6,False,False,355375,Drawings and Prints,Book,Le manuscrit trouvé dans un chapeau,,,,,,Author|Illustrator|Publisher,Written by|Published by,André Salmon|Pablo Picasso|Société Littérarire de France,"French, born 1881|Spanish, Malaga 1881–1973 Mougins, France",", Paris","Salmon, André|Picasso, Pablo|Société Littérarire de France",French|Spanish|French,1881      |1881      ,1973      ,1919,1919,1919,,Overall: 10 9/16 x 8 3/8 x 3/8 in. (26.8 x 21.3 x 1 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1968",,,,,,,,,,,,Books,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/355375,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1988.1101.2,False,False,355376,Drawings and Prints,Print,Painter and Model in an Armchair,,,,,,Artist,,Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo",Spanish,1881      ,1973      ,1963,1963,1963,Linoleum cut; first state of two,"block: 20 7/8 x 25 3/16 in. (53 x 64 cm)
sheet: 24 7/16 x 29 9/16 in. (62 x 75.1 cm)","The Mr. and Mrs. Charles Kramer Collection, Gift of Mr. and Mrs. Charles Kramer, 1988",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/355376,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
23.19.4,False,False,356119,Drawings and Prints,Book,Cravates de chanvre,,,,,,Author|Publisher|Artist|Printer,Written by|Published by|Printed by,Pierre Reverdy|Editions Nord-Sud|Pablo Picasso|Eugène Delâtre,"French, 1889–1960|Spanish, Malaga 1881–1973 Mougins, France|French, Paris 1864–1938 Paris",", Paris","Reverdy, Pierre|Nord-Sud Editions|Picasso, Pablo|Delâtre, Eugène",French|French|Spanish|French,1889      |1881      |1864      ,1960      |1973      |1938      ,1922,1922,1922,Etching,Overall: 9 5/16 x 6 11/16 x 9/16 in. (23.6 x 17 x 1.5 cm),"Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Books,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/356119,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1979.620.90,False,False,357204,Drawings and Prints,Print,Still Life with a Glass by Lamplight,,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Hidalgo Arnéra|Galerie Louise Leiris,"Spanish, Malaga 1881–1973 Mougins, France|Paris",,"Picasso, Pablo|Arnéra, Hidalgo|Leiris, Galerie Louise ",Spanish|French,1881      ,1973      ,1962,1962,1962,Linoleum cut,"block: 20 7/8 x 25 3/16 in. (53 x 64 cm)
sheet: 24 1/2 x 29 5/8 in. (62.2 x 75.2 cm)","The Mr. and Mrs. Charles Kramer Collection, Gift of Mr. and Mrs. Charles Kramer, 1979",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/357204,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1986.1145.35,False,False,358889,Drawings and Prints,Book,The Russian Ballet in Western Europe 1909-20,,,,,,Author|Author|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Publisher,p|Essay on Music by|Portrait of S. Diaghelev after|Portrait of V. Nijinsky after|Portrait of L. Massine after|Portrait of T. Karsavina after|Portrait of I. Stravinsky after|p,W. A. Propert|Eugene Goossens|Valentin Aleksandrovich Serov|Jacques-Émile Blanche|Pablo Picasso|Glyn Warren Philpot|Jacques-Émile Blanche|Léon Bakst|Alexander Benois|André Derain|Ivan Fedorovsky|Aleksandr Yakovlevich Golovin|Natalia Goncharova|Mikhail Larionov|Henri Matisse|Pablo Picasso|Nicholas Roerich|Valentin Aleksandrovich Serov|José Maria Sert Y Badia|Sergej Jur'evic Sondeikine|Natalia Goncharova|John Lane,"British, early 20th century|British, 1893–1962|Russian, St. Petersburg 1865–1911 Moscow|French, Paris 1861–1942|Spanish, Malaga 1881–1973 Mougins, France|British, 1884–1937|French, Paris 1861–1942|Russian, Grodno 1866–1924 Paris|Russian, St. Petersburg 1870–1960 Paris|French, Chatou 1880–1954 Garches|Russian, active early 20th century|Russian, Moscow 1863–1930 Detskoye Selo|French (born Russia), Nagaevo 1881–1962 Paris|Russian, 1881–1964|French, Le Cateau-Cambrésis 1869–1954 Nice|Spanish, Malaga 1881–1973 Mougins, France|Russian, St. Petersburg 1874–1947 Nagar, India|Russian, St. Petersburg 1865–1911 Moscow|Spanish, 1874/76–1945|Russian, ca. 1888–1946|French (born Russia), Nagaevo 1881–1962 Paris|British, West Pulford, Devon 1854–1925 London","(8 works; scenes, costumes, curtains for ballet)|(4 works; scenes, costumes, curtains for ballet)|(2 works; scenes, costumes, curtains for ballet)|(4 works; scenes, costumes, curtains for ballet)|(2 works; scenes, costumes, curtains for ballet)|(9 works; scenes, costumes, curtains for ballet)|(5 works; scenes, costume, curtains for ballet)|(2 works; scenes, costumes, curtains for ballet)|(9 works; scenes, costumes, curtains for ballet)|(2 works; scenes, costumes, curtains for ballet)|(1 work; scenes, costumes, curtains for ballet)|(7 works; scenes, costumes, curtains for ballet)|(2 works; scenes, costumes, curtains for ballet)|(title page, vignettes)","Propert, W. A.|Goossens, Eugene|Serov, Valentin Aleksandrovich|Blanche, Jacques-Émile|Picasso, Pablo|Philpot, Glyn Warren|Blanche, Jacques-Émile|Bakst, Léon|Benois, Alexander|Derain, André|Fedorovsky, Ivan|Golovin, Aleksandr Yakovlevich|Goncharova, Natalia|Larionov, (Larionow) Michaïl|Matisse, Henri|Picasso, Pablo|Roerich, Nicholas|Serov, Valentin Aleksandrovich|Sert, Y Badia José Maria|Sondeikine, Sergej Jur'evic|Goncharova, Natalia|Lane, John","British|British|Russian|French|Spanish|British|French|Russian|Russian|French|Russian|Russian|French, born Russia|Russian|French|Spanish|Russian|Russian|Spanish|Russian|French, born Russia|British",1850      |1893      |1865      |1861      |1881      |1884      |1861      |1866      |1870      |1880      |1900      |1863      |1881      |1881      |1869      |1881      |1874      |1865      |1874      |1888      |1881      |1854      ,1950      |1962      |1911      |1942      |1973      |1937      |1942      |1924      |1960      |1954      |1950      |1930      |1962      |1964      |1954      |1973      |1947      |1911      |1945      |1946      |1962      |1925      ,1921,1921,1921,Illustrations: photomechanical reproductions,13 1/16 x 10 1/4 x 1 7/8 in. (33.1 x 26 x 4.8 cm),"Gift of Estate of Jane Erdmann Whitney, 1986",,London,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/358889,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
38.9,False,False,359946,Drawings and Prints,Print,Two Women Looking at a Nude Model,,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Leblanc et Trautmann|Marcel Guiot & Cie,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo|Leblanc et Trautmann|Guiot, Marcel & Cie (Galerie)",Spanish|French,1881      ,1973      ,"1923, printed 1929",1929,1929,Drypoint and etching,"plate: 7 x 5 1/16 in. (17.8 x 12.9 cm)
sheet: 15 3/4 x 11 3/4 in. (40 x 29.8 cm)","Harris Brisbane Dick Fund, 1938",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/359946,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1979.620.29,False,False,359952,Drawings and Prints,Print,Bacchanal with an Acrobat,,,,,,Artist,,Pablo Picasso,"Spanish, Malaga 1881–1973 Mougins, France",,"Picasso, Pablo",Spanish,1881      ,1973      ,1959,1959,1959,Linoleum cut,"block: 20 3/4 x 25 1/8 in. (52.7 x 63.8 cm)
plate: 24 1/2 x 29 5/8 in. (62.2 x 75.2 cm)","The Mr. and Mrs. Charles Kramer Collection, Gift of Mr. and Mrs. Charles Kramer, 1979",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/359952,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
1983.1212.41,False,False,360126,Drawings and Prints,Print,Bacchanal with a Child Playing Cymbals,,,,,,Artist|Printer|Publisher,Printed by|Published by,Pablo Picasso|Jacques Frélaut|Galerie Louise Leiris,"Spanish, Malaga 1881–1973 Mougins, France|French|Paris",,"Picasso, Pablo|Frélaut, Jacques|Leiris, Galerie Louise ",Spanish|French,1881      ,1973      ,"1955, printed 1961",1961,1961,Etching,"plate: 10 1/8 x 12 1/8 in. (25.7 x 30.8 cm)
sheet: 14 1/8 x 18 1/8 in. (35.9 x 46 cm)","Gift of Reiss-Cohen Inc., 1983",,,,,,,,,,,,Prints,"© 2017 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/360126,5/15/2017 8:00:07 AM,"Metropolitan Museum of Art, New York, NY"
